date,java,c,c++,c#,python,vb,perl,php,ruby,javascript,go,R
2016-01,89,27,23,32,33,11,3,37,3,48,20,12
2016-02,99,29,27,38,37,12,4,41,4,55,20,14
2016-03,100,29,26,37,39,12,4,40,4,55,20,14
2016-04,98,28,26,36,38,11,4,40,4,54,20,14
2016-05,91,26,24,36,37,10,3,39,3,55,20,13
2016-06,91,26,22,35,38,10,3,39,4,55,19,13
2016-07,85,25,20,33,35,10,3,34,3,50,19,12
2016-08,83,25,21,34,35,10,3,35,3,52,19,12
2016-09,89,29,25,34,40,10,3,35,3,53,18,13
2016-10,91,30,27,35,41,10,3,36,3,51,18,14
2016-11,90,30,28,38,44,11,3,38,3,58,18,15
2016-12,79,25,24,33,39,10,3,38,4,50,13,13
2017-01,80,24,23,33,42,10,3,39,4,53,13,13
2017-02,88,27,26,37,48,11,3,43,4,59,13,15
2017-03,90,27,28,39,51,11,3,42,4,60,13,15
2017-04,87,26,26,34,47,10,3,40,4,58,13,15
2017-05,79,24,24,35,46,9,3,39,3,56,13,14
2017-06,76,22,21,32,47,9,3,37,4,56,13,14
2017-07,74,22,20,32,45,8,2,34,4,51,13,13
2017-08,71,22,20,32,44,8,2,33,3,53,13,13
2017-09,80,25,24,33,50,9,3,35,3,54,13,13
2017-10,78,27,26,33,53,9,3,35,3,52,14,14
2017-11,83,27,26,35,56,9,3,36,3,57,15,14
2017-12,70,23,22,30,48,8,2,32,3,50,14,13
2018-01,72,22,22,31,52,8,2,33,3,54,13,13
2018-02,74,24,24,32,56,9,2,35,3,55,14,14
2018-03,74,24,24,32,56,8,2,33,3,55,13,14
2018-04,73,24,24,32,57,8,2,33,3,54,14,15
2018-05,70,22,21,32,55,7,2,32,3,54,13,14
2018-06,65,19,19,30,54,7,2,29,3,52,13,13
2018-07,66,21,19,30,54,7,2,31,3,54,13,13
2018-08,68,22,20,30,56,7,2,29,3,51,13,13
2018-09,70,25,22,28,58,7,2,29,3,50,13,14
2018-10,70,25,25,31,63,7,2,29,3,50,13,15
2018-11,67,24,23,30,61,7,2,30,3,51,12,14
2018-12,59,22,20,26,53,6,2,26,2,44,11,12
2019-01,63,21,19,27,58,6,2,26,2,48,12,13
2019-02,69,23,22,30,65,6,2,26,2,53,14,14
2019-03,65,23,22,28,64,6,2,25,2,51,14,14
2019-04,66,22,21,28,65,6,2,28,3,50,12,14
2019-05,63,20,20,28,62,6,2,27,3,50,12,13
2019-06,61,20,18,27,66,6,2,26,2,49,12,12
2019-07,63,21,18,28,65,6,2,27,3,52,12,12
2019-08,62,21,19,26,65,5,2,25,3,50,12,12
2019-09,67,24,23,29,73,6,2,28,3,52,12,13
2019-10,64,23,24,29,73,6,2,26,3,53,11,14
2019-11,63,24,23,29,72,6,2,25,2,51,11,13
2019-12,56,21,19,25,63,5,1,23,2,44,10,11
2020-01,57,20,19,26,67,5,1,24,2,47,10,11
2020-02,63,22,22,29,77,6,1,25,2,52,10,13
2020-03,56,19,20,25,69,5,1,23,2,48,10,13
2020-04,57,20,20,24,77,5,1,23,2,48,10,14
2020-05,54,19,19,23,74,4,1,22,2,49,10,13
2020-06,52,18,18,24,72,5,1,23,2,51,10,12
2020-07,54,18,17,23,72,5,1,23,2,49,11,12
2020-08,49,18,17,22,69,4,1,21,2,48,11,11
2020-09,54,21,20,23,75,4,1,22,2,48,10,12
2020-10,49,21,19,21,63,4,1,19,1,40,8,12
2020-11,44,19,17,20,58,4,1,17,1,36,8,11
2020-12,41,18,16,18,55,4,1,16,1,35,8,9
2021-01,42,17,16,18,55,4,1,16,1,34,8,10
2021-02,48,19,17,20,59,4,1,17,1,37,8,10
2021-03,47,20,18,21,65,4,1,18,1,39,9,11
2021-04,46,19,18,20,63,4,1,17,1,38,9,11
2021-05,44,18,16,19,59,3,1,16,1,38,8,10
2021-06,45,18,16,21,62,4,1,16,1,40,9,10
2021-07,42,17,14,19,58,3,1,15,1,39,9,9
2021-08,43,16,15,18,55,3,1,15,1,37,9,9
2021-09,48,20,18,21,67,4,1,16,1,40,9,11
2021-10,38,19,16,16,55,3,1,13,1,32,9,11
2021-11,38,19,16,17,56,3,1,13,1,32,10,11
2021-12,40,19,16,17,55,3,1,14,1,34,11,11
