Date,MySQL,MariaDB,PostgreSQL,SQLite,H2 Database
Jan-15,92,1,10,8,0.1
Feb-15,100,2,11,9,0.1
Mar-15,99,2,12,9,0.1
Apr-15,98,2,12,9,0.1
May-15,92,2,11,8,0.1
Jun-15,97,2,12,8,0.1
Jul-15,94,2,11,8,0.1
Aug-15,88,2,10,8,0.1
Sep-15,87,2,11,8,0.1
Oct-15,90,2,11,8,0.1
Nov-15,91,2,11,8,0.1
Dec-15,84,2,11,8,0.1
Jan-16,83,2,10,8,0.1
Feb-16,92,2,13,8,0.1
Mar-16,97,2,13,9,0.1
Apr-16,94,3,11,9,0.1
May-16,91,3,12,8,0.1
Jun-16,91,3,12,9,0.1
Jul-16,81,2,11,8,0.1
Aug-16,82,2,11,8,0.1
Sep-16,84,3,11,8,0.1
Oct-16,83,3,12,7,0.1
Nov-16,91,3,13,9,0.1
Dec-16,80,3,11,7,0.1
Jan-17,83,3,11,7,0.1
Feb-17,94,3,13,8,0.1
Mar-17,94,3,13,9,0.1
Apr-17,88,3,13,9,0.1
May-17,88,3,13,8,0.1
Jun-17,79,3,12,7,0.1
Jul-17,76,3,12,7,0.1
Aug-17,77,3,13,7,0.1
Sep-17,80,3,13,7,0.1
Oct-17,79,4,13,7,0.1
Nov-17,85,4,14,7,0.1
Dec-17,72,3,12,7,0.1
Jan-18,78,3,13,7,0.1
Feb-18,77,3,14,7,0.1
Mar-18,77,4,14,7,0.1
Apr-18,79,3,13,7,0.1
May-18,80,3,14,7,0.1
Jun-18,76,3,13,6,0.1
Jul-18,73,4,13,7,0.1
Aug-18,73,3,13,6,0.1
Sep-18,71,3,13,6,0.1
Oct-18,75,4,14,6,0.1
Nov-18,73,4,14,6,0.1
Dec-18,64,3,12,6,0.1
Jan-19,67,3,13,5,0.1
Feb-19,67,4,14,6,0.1
Mar-19,69,4,14,6,0.1
Apr-19,70,4,14,6,0.1
May-19,71,3,14,6,0.1
Jun-19,67,4,14,6,0.1
Jul-19,72,4,15,6,0.1
Aug-19,65,4,14,6,0.1
Sep-19,68,4,15,6,0.1
Oct-19,67,4,15,6,0.1
Nov-19,69,4,15,6,0.1
Dec-19,60,3,13,5,0.1
Jan-20,60,4,13,6,0.1
Feb-20,64,4,16,6,0.1
Mar-20,61,4,14,5,0.1
Apr-20,58,4,14,6,0.1
May-20,59,4,14,6,0.1
Jun-20,59,4,15,5,0.1
Jul-20,58,4,15,5,0.1
Aug-20,55,4,14,5,0.1
Sep-20,56,4,14,5,0.1
Oct-20,46,3,11,4,0.1
Nov-20,41,3,10,4,0.1
Dec-20,42,3,10,4,0.1
Jan-21,39,3,10,4,0.1
Feb-21,43,3,11,4,0.1
Mar-21,46,4,12,4,0.1
Apr-21,45,3,11,4,0.1
May-21,43,3,11,4,0.1
Jun-21,43,3,12,4,0.1
Jul-21,41,3,11,4,0.1
Aug-21,39,3,11,4,0.1
Sep-21,43,3,12,4,0.1
Oct-21,36,3,11,4,0.1
Nov-21,36,3,11,4,0.1
Dec-21,35,3,11,4,0.1
