Date,git,Concurrent Versions System,Apache Subversion,Mercurial
2004-01,4,20,6,0
2004-02,4,23,12,0
2004-03,4,20,14,0
2004-04,5,20,12,0
2004-05,4,20,13,0
2004-06,5,22,15,0
2004-07,5,20,15,0
2004-08,5,18,18,0
2004-09,5,20,18,0
2004-10,6,19,18,0
2004-11,5,18,16,0
2004-12,6,16,17,0
2005-01,6,16,19,0
2005-02,5,17,21,0
2005-03,5,16,20,0
2005-04,8,14,19,0
2005-05,7,16,25,0
2005-06,6,15,26,1
2005-07,6,14,26,1
2005-08,6,15,26,1
2005-09,6,14,28,1
2005-10,6,14,27,1
2005-11,7,12,28,0
2005-12,6,12,25,1
2006-01,6,12,29,1
2006-02,7,12,32,1
2006-03,7,11,32,1
2006-04,7,11,29,1
2006-05,7,10,32,1
2006-06,7,11,34,1
2006-07,7,10,36,1
2006-08,7,10,36,1
2006-09,7,10,36,1
2006-10,7,9,37,1
2006-11,8,9,37,1
2006-12,8,7,33,1
2007-01,7,8,34,1
2007-02,7,8,37,1
2007-03,8,8,37,1
2007-04,8,7,35,1
2007-05,9,7,34,1
2007-06,12,7,37,2
2007-07,11,7,36,2
2007-08,11,7,35,1
2007-09,11,6,35,2
2007-10,11,7,41,1
2007-11,10,6,38,2
2007-12,11,5,31,2
2008-01,11,5,36,2
2008-02,12,5,36,2
2008-03,12,5,35,3
2008-04,15,5,38,3
2008-05,15,5,34,3
2008-06,15,4,38,3
2008-07,16,4,41,3
2008-08,16,4,35,3
2008-09,15,4,39,3
2008-10,17,4,41,3
2008-11,17,4,38,3
2008-12,18,3,34,3
2009-01,24,3,37,3
2009-02,23,4,39,3
2009-03,24,3,41,3
2009-04,25,3,40,4
2009-05,24,3,37,4
2009-06,24,3,39,3
2009-07,23,3,39,4
2009-08,24,3,37,4
2009-09,23,3,37,4
2009-10,24,3,37,4
2009-11,24,3,37,4
2009-12,24,2,32,3
2010-01,24,2,33,3
2010-02,25,2,36,4
2010-03,28,2,37,5
2010-04,28,2,36,5
2010-05,28,2,34,5
2010-06,29,2,37,5
2010-07,27,2,33,4
2010-08,27,2,32,4
2010-09,29,2,32,5
2010-10,30,2,32,4
2010-11,31,2,32,5
2010-12,30,2,28,4
2011-01,32,1,29,4
2011-02,33,2,30,5
2011-03,37,2,31,5
2011-04,36,1,29,5
2011-05,36,1,29,5
2011-06,38,1,29,4
2011-07,37,1,29,5
2011-08,38,1,28,5
2011-09,40,1,27,5
2011-10,40,1,27,5
2011-11,41,1,28,5
2011-12,39,1,23,4
2012-01,42,1,25,4
2012-02,44,1,26,4
2012-03,43,1,25,5
2012-04,43,1,25,5
2012-05,46,1,24,5
2012-06,46,1,24,5
2012-07,47,1,24,5
2012-08,47,1,23,4
2012-09,46,1,23,4
2012-10,47,1,23,4
2012-11,48,1,21,4
2012-12,42,1,18,4
2013-01,48,1,21,4
2013-02,52,1,21,4
2013-03,50,1,19,4
2013-04,52,1,21,4
2013-05,51,1,20,4
2013-06,51,1,19,4
2013-07,54,1,20,4
2013-08,55,1,18,4
2013-09,53,1,19,4
2013-10,59,1,20,4
2013-11,57,1,18,3
2013-12,52,1,16,3
2014-01,59,1,17,3
2014-02,60,1,18,3
2014-03,62,1,17,3
2014-04,64,1,18,3
2014-05,63,1,16,3
2014-06,64,1,16,3
2014-07,64,1,16,3
2014-08,62,0,14,3
2014-09,65,1,16,3
2014-10,64,0,16,3
2014-11,63,0,14,2
2014-12,62,0,12,2
2015-01,66,0,13,2
2015-02,69,0,14,3
2015-03,72,0,14,3
2015-04,74,0,14,2
2015-05,67,0,12,2
2015-06,76,0,14,2
2015-07,75,0,13,2
2015-08,69,0,12,2
2015-09,73,0,12,2
2015-10,76,0,12,2
2015-11,75,0,11,2
2015-12,67,0,10,2
2016-01,70,0,10,2
2016-02,76,0,11,2
2016-03,79,0,11,2
2016-04,80,0,10,2
2016-05,78,0,10,2
2016-06,82,0,10,2
2016-07,76,0,9,2
2016-08,79,0,9,2
2016-09,82,0,9,2
2016-10,79,0,9,2
2016-11,85,0,9,2
2016-12,77,0,9,1
2017-01,84,0,10,1
2017-02,93,0,11,2
2017-03,96,0,11,2
2017-04,88,0,10,1
2017-05,89,0,10,1
2017-06,89,0,10,1
2017-07,89,0,9,1
2017-08,90,0,8,1
2017-09,90,0,9,1
2017-10,94,0,9,1
2017-11,93,0,9,1
2017-12,76,0,7,1
2018-01,89,0,8,1
2018-02,94,0,8,1
2018-03,97,0,8,2
2018-04,90,0,8,1
2018-05,93,0,8,1
2018-06,94,0,8,1
2018-07,93,0,7,1
2018-08,95,0,7,1
2018-09,88,0,7,1
2018-10,100,0,7,1
2018-11,91,0,7,1
2018-12,76,0,5,1
2019-01,92,0,6,1
2019-02,97,0,5,1
2019-03,92,0,5,1
2019-04,95,0,6,1
2019-05,94,0,6,1
2019-06,95,0,6,1
2019-07,99,0,6,1
2019-08,96,0,5,1
2019-09,98,0,5,1
2019-10,99,0,5,1
2019-11,94,0,5,1
2019-12,80,0,4,1
2020-01,88,0,5,1
2020-02,93,0,5,1
2020-03,90,0,5,1
2020-04,93,0,4,1
2020-05,87,0,4,1
2020-06,93,0,4,1
2020-07,94,0,4,1
2020-08,86,0,4,1
2020-09,88,0,4,1
2020-10,67,0,3,1
2020-11,61,0,3,1
2020-12,58,0,3,1
2021-01,61,0,3,1
2021-02,65,0,3,1
2021-03,71,0,3,1
2021-04,68,0,3,1
2021-05,66,0,3,1
2021-06,72,0,3,1
2021-07,70,0,3,1
2021-08,67,0,3,1
2021-09,75,0,3,1
2021-10,72,0,3,1
2021-11,73,0,3,1
2021-12,71,0,3,1
2022-01,73,0,3,1
2022-02,80,0,3,1
2022-03,86,0,3,1
2022-04,78,0,3,1
2022-05,30,0,2,1
