152,チコリータ,くさ,
153,ベイリーフ,くさ,
154,メガニウム,くさ,
155,ヒノアラシ,ほのお,
156,マグマラシ,ほのお,
157,バクフーン,ほのお,
158,ワニノコ,みず,
159,アリゲイツ,みず,
160,オーダイル,みず,
161,オタチ,ノーマル,
162,オオタチ,ノーマル,
163,ホーホー,ノーマル,ひこう
164,ヨルノズク,ノーマル,ひこう
165,レディバ,むし,ひこう
166,レディアン,むし,ひこう
167,イトマル,むし,どく
168,アリアドス,むし,どく
169,クロバット,どく,ひこう
170,チョンチー,みず,でんき
171,ランターン,みず,でんき
172,ピチュー,でんき,
173,ピィ,フェアリー,
174,ププリン,ノーマル,フェアリー
175,トゲピー,フェアリー,
176,トゲチック,フェアリー,ひこう
177,ネイティ,エスパー,ひこう
178,ネイティオ,エスパー,ひこう
179,メリープ,でんき,
180,モココ,でんき,
181,デンリュウ,でんき,
182,キレイハナ,くさ,
183,マリル,みず,フェアリー
184,マリルリ,みず,フェアリー
185,ウソッキー,いわ,
186,ニョロトノ,みず,
187,ハネッコ,くさ,ひこう
188,ポポッコ,くさ,ひこう
189,ワタッコ,くさ,ひこう
190,エイパム,ノーマル,
191,ヒマナッツ,くさ,
192,キマワリ,くさ,
193,ヤンヤンマ,むし,ひこう
194,ウパー,みず,じめん
195,ヌオー,みず,じめん
196,エーフィ,エスパー,
197,ブラッキー,あく,
198,ヤミカラス,あく,ひこう
199,ヤドキング,みず,エスパー
200,ムウマ,ゴースト,
201,アンノーン,エスパー,
202,ソーナンス,エスパー,
203,キリンリキ,ノーマル,エスパー
204,クヌギダマ,むし,
205,フォレトス,むし,はがね
206,ノコッチ,ノーマル,
207,グライガー,じめん,ひこう
208,ハガネール,はがね,じめん
209,ブルー,フェアリー,
210,グランブル,フェアリー,
211,ハリーセン,みず,どく
212,ハッサム,むし,はがね
213,ツボツボ,むし,いわ
214,ヘラクロス,むし,かくとう
215,ニューラ,あく,こおり
216,ヒメグマ,ノーマル,
217,リングマ,ノーマル,
218,マグマッグ,ほのお,
219,マグカルゴ,ほのお,いわ
220,ウリムー,こおり,じめん
221,イノムー,こおり,じめん
222,サニーゴ,みず,いわ
223,テッポウオ,みず,
224,オクタン,みず,
225,デリバード,こおり,ひこう
226,マンタイン,みず,ひこう
227,エアームド,はがね,ひこう
228,デルビル,あく,ほのお
229,ヘルガー,あく,ほのお
230,キングドラ,みず,ドラゴン
231,ゴマゾウ,じめん,
232,ドンファン,じめん,
233,ポリゴン２,ノーマル,
234,オドシシ,ノーマル,
235,ドーブル,ノーマル,
236,バルキー,かくとう,
237,カポエラー,かくとう,
238,ムチュール,こおり,エスパー
239,エレキッド,でんき,
240,ブビィ,ほのお,
241,ミルタンク,ノーマル,
242,ハピナス,ノーマル,
243,ライコウ,でんき,
244,エンテイ,ほのお,
245,スイクン,みず,
246,ヨーギラス,いわ,じめん
247,サナギラス,いわ,じめん
248,バンギラス,いわ,あく
249,ルギア,エスパー,ひこう
250,ホウオウ,ほのお,ひこう
251,セレビィ,エスパー,むし
