1,フシギダネ,くさ,どく,45,49,49,65,65,45,318
2,フシギソウ,くさ,どく,60,62,63,80,80,60,405
3,フシギバナ,くさ,どく,80,82,83,100,100,80,525
4,ヒトカゲ,ほのお,,39,52,43,60,50,65,309
5,リザード,ほのお,,58,64,58,80,65,80,405
6,リザードン,ほのお,ひこう,78,84,78,109,85,100,534
7,ゼニガメ,みず,,44,48,65,50,64,43,314
8,カメール,みず,,59,63,80,65,80,58,405
9,カメックス,みず,,79,83,100,85,105,78,530
10,キャタピー,むし,,45,30,35,20,20,45,195
11,トランセル,むし,,50,20,55,25,25,30,205
12,バタフリー,むし,ひこう,60,45,50,90,80,70,395
13,ビードル,むし,どく,40,35,30,20,20,50,195
14,コクーン,むし,どく,45,25,50,25,25,35,205
15,スピアー,むし,どく,65,90,40,45,80,75,395
16,ポッポ,ノーマル,ひこう,40,45,40,35,35,56,251
17,ピジョン,ノーマル,ひこう,63,60,55,50,50,71,349
18,ピジョット,ノーマル,ひこう,83,80,75,70,70,101,479
19,コラッタ,ノーマル,,30,56,35,25,35,72,253
20,ラッタ,ノーマル,,55,81,60,50,70,97,413
21,オニスズメ,ノーマル,ひこう,40,60,30,31,31,70,262
22,オニドリル,ノーマル,ひこう,65,90,65,61,61,100,442
23,アーボ,どく,,35,60,44,40,54,55,288
24,アーボック,どく,,60,95,69,65,79,80,448
25,ピカチュウ,でんき,,35,55,40,50,50,90,320
26,ライチュウ,でんき,,60,90,55,90,80,110,485
27,サンド,じめん,,50,75,85,20,30,40,300
28,サンドパン,じめん,,75,100,110,45,55,65,450
29,ニドラン♀,どく,,55,47,52,40,40,41,275
30,ニドリーナ,どく,,70,62,67,55,55,56,365
31,ニドクイン,どく,じめん,90,92,87,75,85,76,505
32,ニドラン♂,どく,,46,57,40,40,40,50,273
33,ニドリーノ,どく,,61,72,57,55,55,65,365
34,ニドキング,どく,じめん,81,102,77,85,75,85,505
35,ピッピ,フェアリー,,70,45,48,60,65,35,323
36,ピクシー,フェアリー,,95,70,73,95,90,60,483
37,ロコン,ほのお,,38,41,40,50,65,65,299
38,キュウコン,ほのお,,73,76,75,81,100,100,505
39,プリン,ノーマル,フェアリー,115,45,20,45,25,20,270
40,プクリン,ノーマル,フェアリー,140,70,45,85,50,45,435
41,ズバット,どく,ひこう,40,45,35,30,40,55,245
42,ゴルバット,どく,ひこう,75,80,70,65,75,90,455
43,ナゾノクサ,くさ,どく,45,50,55,75,65,30,320
44,クサイハナ,くさ,どく,60,65,70,85,75,40,395
45,ラフレシア,くさ,どく,75,80,85,110,90,50,490
46,パラス,むし,くさ,35,70,55,45,55,25,285
47,パラセクト,むし,くさ,60,95,80,60,80,30,405
48,コンパン,むし,どく,60,55,50,40,55,45,305
49,モルフォン,むし,どく,70,65,60,90,75,90,450
50,ディグダ,じめん,,10,55,25,35,45,95,265
51,ダグトリオ,じめん,,35,100,50,50,70,120,425
52,ニャース,ノーマル,,40,45,35,40,40,90,290
53,ペルシアン,ノーマル,,65,70,60,65,65,115,440
54,コダック,みず,,50,52,48,65,50,55,320
55,ゴルダック,みず,,80,82,78,95,80,85,500
56,マンキー,かくとう,,40,80,35,35,45,70,305
57,オコリザル,かくとう,,65,105,60,60,70,95,455
58,ガーディ,ほのお,,55,70,45,70,50,60,350
59,ウインディ,ほのお,,90,110,80,100,80,95,555
60,ニョロモ,みず,,40,50,40,40,40,90,300
61,ニョロゾ,みず,,65,65,65,50,50,90,385
62,ニョロボン,みず,かくとう,90,95,95,70,90,70,510
63,ケーシィ,エスパー,,25,20,15,105,55,90,310
64,ユンゲラー,エスパー,,40,35,30,120,70,105,400
65,フーディン,エスパー,,55,50,45,135,95,120,500
66,ワンリキー,かくとう,,70,80,50,35,35,35,305
67,ゴーリキー,かくとう,,80,100,70,50,60,45,405
68,カイリキー,かくとう,,90,130,80,65,85,55,505
69,マダツボミ,くさ,どく,50,75,35,70,30,40,300
70,ウツドン,くさ,どく,65,90,50,85,45,55,390
71,ウツボット,くさ,どく,80,105,65,100,70,70,490
72,メノクラゲ,みず,どく,40,40,35,50,100,70,335
